N_slides,Title/centretitle/subtitle,Body/Textbox/Placeholder,N_picture/slide,N_chart/slide,N_table/slide,N_hyperlink,Footer,Date,Slideno,Bold,Underline,Italic,secondlevel_bullet,N_bullets/slide,N_fonttypes,N_fontsize,N_fontcolor,output_grade,,ppt_number
1,2,1,4,0,4,1,0,0,0,2,0,0,0,1.6,1,1,4,2,,e:\ppt\01.pptx
1,2,1,0,0,4,1,0,0,0,2,0,2,0,2.727272727,1,1,1,4,,e:\ppt\02.pptx
1,2,1,0,0,4,1,2,2,2,2,0,0,0,2,4,1,3,2,,e:\ppt\03.pptx
1,2,1,3,0,0,1,2,2,0,2,0,0,0,1.818181818,4,1,3,2,,e:\ppt\06.pptx
1,2,1,4,0,4,1,0,0,0,2,2,2,0,2.166666667,3,1,3,3,,e:\ppt\10.pptx
3,2,1,4,0,0,1,0,0,0,2,0,0,0,2.095238095,3,1,3,3,,e:\ppt\100.pptx
1,2,1,0,0,0,1,0,0,2,2,0,0,0,1.933333333,3,1,2,4,,e:\ppt\101.pptx
3,2,1,3.8,0,0,1,0,2,2,0,2,0,0,1.4,4,1,3,2,,e:\ppt\102.pptx
1,2,1,3.9,0,0,1,0,2,2,2,2,2,2,1.6,4,1,4,1,,e:\ppt\103.pptx
1,2,1,4,0,0,1,0,0,2,2,0,0,2,1.666666667,3,1,1,3,,e:\ppt\104.pptx
1,0,1,2.769230769,0,0,1,0,0,0,0,0,0,2,1.615384615,1,1,4,4,,e:\ppt\105.pptx
1,2,1,3.714285714,0,0,1,0,2,2,2,0,2,2,2.1875,3,1,1,2,,e:\ppt\106.pptx
1,2,1,4,0,0,1,0,2,2,2,2,2,2,1.538461538,3,1,3,1,,e:\ppt\107.pptx
4,2,1,3,0,0,1,0,0,0,2,0,2,2,2.68,3,1,3,2,,e:\ppt\108.pptx
1,2,1,4,0,4,1,0,0,0,0,0,0,0,1.785714286,4,1,1,3,,e:\ppt\109.pptx
1,2,1,0,0,0,1,2,2,2,0,0,0,2,2.5,3,4,1,3,,e:\ppt\11.pptx
1,2,1,3.75,0,0,1,0,0,0,2,2,0,2,2.333333333,1,1,3,3,,e:\ppt\110.pptx
4,2,1,4,0,4,3,0,0,0,2,2,0,2,1.657142857,1,1,3,1,,e:\ppt\111.pptx
3,0,1,3.777777778,0,0,1,0,0,0,2,0,2,0,1.086956522,1,1,3,4,,e:\ppt\112.pptx
1,2,1,4,0,0,3,0,0,0,0,2,0,0,2.0625,3,1,1,3,,e:\ppt\113.pptx
1,0,1,4,0,0,1,0,0,0,2,0,0,0,1.272727273,3,1,3,3,,e:\ppt\114.pptx
1,0,1,3.5625,0,0,1,0,0,0,2,0,0,0,2.444444444,3,1,3,4,,e:\ppt\115.pptx
4,2,1,3.888888889,0,4,1,0,0,0,2,2,2,0,1.344827586,1,1,3,2,,e:\ppt\116.pptx
3,2,1,4,0,0,1,0,0,0,0,0,0,0,1,3,2,1,4,,e:\ppt\117.pptx
1,2,1,3.5,0,0,1,0,0,0,2,2,2,2,1.684210526,3,1,1,3,,e:\ppt\118.pptx
1,2,1,3.777777778,0,0,4,0,0,2,2,2,2,0,1.5625,1,1,3,2,,e:\ppt\119.pptx
4,2,1,3.888888889,0,4,1,0,0,0,2,2,2,0,1.344827586,1,1,3,1,,e:\ppt\120.pptx
3,2,1,3.166666667,0,4,1,0,0,0,0,0,0,0,1.375,3,2,1,3,,e:\ppt\121.pptx
1,0,1,3.5,0,0,1,0,0,0,0,2,0,2,2,1,1,1,4,,e:\ppt\122.pptx
3,2,1,3.5,0,0,1,0,0,0,2,2,2,2,1.837837838,3,1,3,2,,e:\ppt\123.pptx
1,2,1,4,0,0,1,0,0,0,2,0,2,0,2,4,1,1,3,,e:\ppt\124.pptx
1,2,1,4,0,0,1,0,0,0,2,2,2,0,1.6,1,1,3,3,,e:\ppt\125.pptx
1,2,1,4,0,0,1,0,0,0,2,0,0,2,2.2,3,1,1,3,,e:\ppt\126.pptx
1,2,1,4,0,0,1,0,0,0,2,2,2,0,2,4,1,1,3,,e:\ppt\127.pptx
4,2,1,3.888888889,0,0,1,0,0,0,2,2,2,0,1.5,1,1,4,2,,e:\ppt\128.pptx
1,2,1,4,0,0,1,0,0,0,0,0,0,0,1.133333333,3,1,1,4,,e:\ppt\129.pptx
1,2,1,4,0,4,1,0,0,2,2,0,0,0,1.230769231,4,1,1,2,,e:\ppt\13.pptx
1,2,1,0,0,0,1,0,0,0,2,0,2,0,2.6,1,1,3,4,,e:\ppt\130.pptx
1,2,1,3.5,0,4,1,0,0,0,2,2,2,0,1.266666667,4,1,1,2,,e:\ppt\131.pptx
1,2,1,0,0,0,1,0,0,0,0,0,0,0,2.142857143,1,1,1,4,,e:\ppt\132.pptx
1,2,1,4,0,0,1,0,0,2,2,2,2,2,2,3,1,3,2,,e:\ppt\133.pptx
1,2,1,4,0,0,1,0,2,2,2,2,2,0,2.3,4,4,1,2,,e:\ppt\134.pptx
1,2,1,2.842105263,0,0,1,0,0,2,2,0,0,0,1.263157895,3,2,1,3,,e:\ppt\135.pptx
4,2,1,3.666666667,0,0,4,0,0,2,2,2,0,2,1.962962963,1,1,3,1,,e:\ppt\136.pptx
1,2,1,0,0,0,3,0,0,0,2,2,2,0,2.222222222,3,4,3,2,,e:\ppt\137.pptx
1,2,1,0,0,4,1,0,0,0,2,0,0,0,1.692307692,3,4,1,3,,e:\ppt\14.pptx
1,2,1,0,0,4,1,0,0,0,2,0,0,2,1.714285714,4,1,1,3,,e:\ppt\16.pptx
1,2,1,4,0,3.666666667,1,2,2,2,2,0,2,0,2.083333333,3,1,3,1,,e:\ppt\17.pptx
1,2,1,3.4,0,4,1,0,0,0,2,0,0,0,1.9,4,1,3,2,,e:\ppt\18.pptx
1,2,1,4,0,4,1,0,0,0,2,0,2,2,1.454545455,4,1,1,2,,e:\ppt\19.pptx
1,2,1,3.666666667,0,0,1,0,0,0,2,0,0,0,2.083333333,4,1,1,4,,e:\ppt\20.pptx
4,2,1,4,0,3.75,1,2,2,2,2,0,0,0,2.178571429,4,4,1,1,,e:\ppt\21.pptx
3,2,1,0,0,4,1,0,0,0,2,0,0,0,1.75,4,4,1,3,,e:\ppt\22.pptx
4,2,1,3.444444444,0,3.75,4,0,0,0,2,2,2,2,1.1875,1,1,3,1,,e:\ppt\23.pptx
1,2,1,4,0,4,1,0,0,0,2,0,2,2,1.214285714,4,1,1,2,,e:\ppt\24.pptx
1,2,1,4,0,4,1,2,2,2,0,0,0,0,2.733333333,3,3,1,1,,e:\ppt\25.pptx
1,2,1,3.857142857,0,0,1,2,2,2,2,2,2,2,2.912280702,4,1,3,1,,e:\ppt\26.pptx
1,2,1,0,0,0,1,0,2,2,2,0,2,2,2.764705882,1,1,3,3,,e:\ppt\27.pptx
3,2,1,4,0,0,1,0,0,0,0,0,2,2,2.3,3,3,1,2,,e:\ppt\28.pptx
