no_slides,no_Table,no_Picture,No_fonttypes,No_fontsizes,No_fontcolor,Bold,Underline,Italic,Max_font_size,Min_font_size,no_of_hlink,footer,Date,Slide number,output,,output,output,,output,,,,output
2,1,3,2,0,2,1,0,0,2,2,0,0,0,0,2,,2,3,15,3,2,e:\ppt\01.pptx,e:\ppt\01.pptx,3
2,1,0,0,0,0,1,0,1,2,2,0,0,0,0,3,,3,4,9,4,3,e:\ppt\02.pptx,e:\ppt\02.pptx,4
2,3,0,2,0,2,1,0,0,2,2,0,2,2,2,1,,1,1,20,1,1,e:\ppt\03.pptx,e:\ppt\03.pptx,1
2,0,3,2,0,2,1,0,0,2,2,0,2,2,0,1,,1,1,18,1,1,e:\ppt\06.pptx,e:\ppt\06.pptx,1
0,1,3,2,0,2,1,0,0,2,2,0,0,0,0,2,,2,4,13,4,2,e:\ppt\10.pptx,e:\ppt\10.pptx,4
2,0,1,2,0,2,1,0,0,2,2,0,0,0,0,2,,2,4,12,4,2,e:\ppt\100.pptx,e:\ppt\100.pptx,4
2,1,0,2,0,1,1,0,0,2,0,0,0,0,2,2,,3,3,11,3,3,e:\ppt\101.pptx,e:\ppt\101.pptx,3
2,0,1,2,0,2,0,1,0,2,0,1,0,2,2,2,,2,3,15,3,2,e:\ppt\102.pptx,e:\ppt\102.pptx,3
2,0,1,2,0,2,1,1,1,2,2,1,0,2,2,1,,1,2,19,2,1,e:\ppt\103.pptx,e:\ppt\103.pptx,2
2,0,3,1,0,0,1,0,0,2,2,0,0,0,2,2,,2,3,13,3,2,e:\ppt\104.pptx,e:\ppt\104.pptx,3
2,0,1,0,0,2,0,0,0,2,2,0,0,0,0,3,,3,4,9,4,3,e:\ppt\105.pptx,e:\ppt\105.pptx,4
2,0,1,2,0,0,1,0,1,2,2,0,0,2,2,2,,2,1,15,1,2,e:\ppt\106.pptx,e:\ppt\106.pptx,1
2,0,3,2,0,2,1,1,1,2,2,0,0,2,2,1,,1,3,20,3,1,e:\ppt\107.pptx,e:\ppt\107.pptx,3
1,0,3,2,0,2,1,0,1,2,2,0,0,0,0,2,,2,4,14,4,2,e:\ppt\108.pptx,e:\ppt\108.pptx,4
2,1,1,2,0,0,0,0,0,2,2,0,0,0,0,3,not correct,3,3,10,3,3,e:\ppt\109.pptx,e:\ppt\109.pptx,3
0,0,0,1,0,0,0,0,0,2,2,0,2,2,2,2,,3,3,11,3,3,e:\ppt\11.pptx,e:\ppt\11.pptx,3
2,1,1,2,0,0,1,0,0,2,2,0,0,0,2,2,,2,3,13,3,2,e:\ppt\13.pptx,e:\ppt\13.pptx,3
2,3,0,1,0,0,1,0,0,2,2,0,0,0,0,2,,3,3,11,3,3,e:\ppt\14.pptx,e:\ppt\14.pptx,3
0,3,0,2,0,0,1,0,0,2,2,0,0,0,0,3,,3,4,10,4,3,e:\ppt\16.pptx,e:\ppt\16.pptx,4
2,3,1,1,0,0,1,0,1,2,2,0,2,2,2,1,,1,3,19,3,1,e:\ppt\17.pptx,e:\ppt\17.pptx,3
2,1,1,2,0,2,1,0,0,2,2,0,0,0,0,2,,2,3,13,3,2,e:\ppt\18.pptx,e:\ppt\18.pptx,3
2,1,3,2,0,0,1,0,1,2,2,0,0,0,0,2,,2,4,14,4,2,e:\ppt\19.pptx,e:\ppt\19.pptx,4
2,0,1,2,0,0,1,0,0,2,2,0,0,0,0,3,,3,4,10,4,3,e:\ppt\20.pptx,e:\ppt\20.pptx,4
1,3,3,2,0,0,1,0,0,2,2,0,2,2,2,1,,1,2,20,2,1,e:\ppt\21.pptx,e:\ppt\21.pptx,2
2,1,0,2,0,0,1,0,0,2,2,0,0,0,0,3,,3,4,10,4,3,e:\ppt\22.pptx,e:\ppt\22.pptx,4
1,3,1,0,0,2,1,1,1,2,2,1,0,0,0,2,,2,4,15,4,2,e:\ppt\23.pptx,e:\ppt\23.pptx,4
2,3,3,2,0,0,1,0,1,2,2,0,0,0,0,1,,1,3,16,3,1,e:\ppt\24.pptx,e:\ppt\24.pptx,3
2,1,1,1,0,0,0,0,0,2,2,0,2,2,2,2,,2,2,15,2,2,e:\ppt\25.pptx,e:\ppt\25.pptx,2
1,0,1,1,0,0,0,1,0,2,2,0,2,0,2,2,,2,3,12,3,2,e:\ppt\32.pptx,e:\ppt\32.pptx,3
2,3,1,2,0,0,1,1,0,2,2,1,0,2,2,1,,1,3,19,3,1,e:\ppt\39.pptx,e:\ppt\39.pptx,3
2,0,3,2,0,0,1,1,0,2,2,1,0,0,0,2,,2,3,14,3,2,e:\ppt\40.pptx,e:\ppt\40.pptx,3
1,1,1,1,0,0,1,0,0,2,2,0,0,0,0,3,,3,4,9,4,3,e:\ppt\41.pptx,e:\ppt\41.pptx,4
2,1,1,2,0,2,1,1,1,2,0,1,0,0,0,2,,2,4,14,4,2,e:\ppt\42.pptx,e:\ppt\42.pptx,4
2,0,0,2,0,2,0,0,0,2,2,0,0,2,2,2,,2,3,14,3,2,e:\ppt\43.pptx,e:\ppt\43.pptx,3
2,0,3,0,0,0,1,0,1,2,2,0,0,0,0,2,,3,4,11,4,3,e:\ppt\44.pptx,e:\ppt\44.pptx,4
2,0,1,2,0,0,1,0,0,2,2,0,0,0,0,3,,3,3,10,3,3,e:\ppt\45.pptx,e:\ppt\45.pptx,3
2,0,1,0,0,1,1,1,0,2,2,0,0,0,0,3,,3,4,10,4,3,e:\ppt\46.pptx,e:\ppt\46.pptx,4
2,0,1,2,0,0,1,0,1,2,2,0,0,0,0,2,,3,4,11,4,3,e:\ppt\47.pptx,e:\ppt\47.pptx,4
2,0,0,2,0,1,1,0,1,2,2,1,0,2,2,1,,1,2,16,2,1,e:\ppt\48.pptx,e:\ppt\48.pptx,2
2,0,1,2,0,2,0,1,1,2,2,0,0,2,2,1,,1,2,17,2,1,e:\ppt\49.pptx,e:\ppt\49.pptx,2
2,1,1,1,0,2,1,0,1,2,2,0,0,2,2,1,,1,3,17,3,1,e:\ppt\50.pptx,e:\ppt\50.pptx,3
2,0,0,2,0,0,0,0,1,2,2,0,0,2,2,2,,2,2,13,2,2,e:\ppt\52.pptx,e:\ppt\52.pptx,2
2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,3,,3,2,7,2,3,e:\ppt\53.pptx,e:\ppt\53.pptx,2
2,0,1,2,0,0,1,0,0,2,2,0,0,0,0,3,,3,,10,,3,e:\ppt\54.pptx,e:\ppt\54.pptx,
2,0,1,2,0,2,1,0,1,2,2,0,0,0,0,2,,2,3,13,3,2,e:\ppt\55.pptx,e:\ppt\55.pptx,3
2,0,1,0,0,0,1,0,0,2,2,0,0,0,0,3,,3,4,8,4,3,e:\ppt\56.pptx,e:\ppt\56.pptx,4
2,0,1,0,0,2,1,1,1,2,2,0,2,2,2,1,,1,3,18,3,1,e:\ppt\57.pptx,e:\ppt\57.pptx,3
2,0,1,0,0,2,1,1,0,2,2,0,0,2,2,2,,2,3,15,3,2,e:\ppt\58.pptx,e:\ppt\58.pptx,3
2,0,0,1,0,0,1,0,0,1,2,0,0,0,0,3,,3,4,7,4,3,e:\ppt\59.pptx,e:\ppt\59.pptx,4
2,0,1,2,0,1,1,0,0,2,2,0,0,2,2,2,,2,2,15,2,2,e:\ppt\60.pptx,e:\ppt\60.pptx,2
2,0,3,0,0,2,1,1,1,2,0,0,0,0,2,2,,2,4,14,4,2,e:\ppt\61.pptx,e:\ppt\61.pptx,4
2,0,1,0,0,0,1,0,1,2,2,1,0,0,2,2,,2,1,12,1,2,e:\ppt\63.pptx,e:\ppt\63.pptx,1
2,1,1,1,0,2,1,0,1,2,2,0,2,2,2,1,,1,1,19,1,1,e:\ppt\65.pptx,e:\ppt\65.pptx,1
2,1,3,0,0,1,1,1,1,2,2,1,0,2,2,1,,1,1,19,1,1,e:\ppt\66.pptx,e:\ppt\66.pptx,1
2,0,1,2,0,2,1,0,0,2,2,0,0,2,2,1,,1,3,16,3,1,e:\ppt\67.pptx,e:\ppt\67.pptx,3
2,0,1,2,0,1,1,1,0,2,2,0,0,2,2,1,,1,2,16,2,1,e:\ppt\68.pptx,e:\ppt\68.pptx,2
2,0,0,0,0,2,1,0,0,2,2,1,0,0,0,3,,3,4,10,4,3,e:\ppt\69.pptx,e:\ppt\69.pptx,4
0,1,3,2,0,0,1,0,0,2,2,0,0,0,2,2,,2,4,13,4,2,e:\ppt\70.pptx,e:\ppt\70.pptx,4
2,0,1,2,0,0,0,1,1,2,2,0,0,2,2,2,,2,3,15,3,2,e:\ppt\73.pptx,e:\ppt\73.pptx,3
2,3,1,2,0,1,1,0,0,2,2,0,0,2,2,1,,1,2,18,2,1,e:\ppt\74.pptx,e:\ppt\74.pptx,2
2,0,1,0,0,2,1,1,0,2,2,1,0,0,0,2,,2,,12,,2,e:\ppt\75.pptx,,
2,0,1,1,0,2,1,1,1,2,2,0,0,2,2,1,,1,2,17,2,1,e:\ppt\77.pptx,e:\ppt\77.pptx,2
2,0,3,0,0,1,1,1,1,2,2,1,0,2,2,1,,1,1,18,1,1,e:\ppt\78.pptx,e:\ppt\78.pptx,1
2,0,1,2,0,1,1,1,1,2,2,1,0,2,2,1,,1,1,18,1,1,e:\ppt\79.pptx,e:\ppt\79.pptx,1
2,0,1,0,0,0,0,1,0,2,2,0,0,2,2,2,,2,3,12,3,2,e:\ppt\80.pptx,e:\ppt\80.pptx,3
2,0,1,0,0,1,1,0,1,2,2,0,0,2,2,2,,2,2,14,2,2,e:\ppt\81.pptx,e:\ppt\81.pptx,2
2,1,1,2,0,2,1,1,1,1,0,1,0,0,0,2,,2,,13,,2,e:\ppt\82.pptx,,
2,0,1,0,0,0,1,1,1,2,2,0,0,2,2,2,,2,2,14,2,2,e:\ppt\83.pptx,e:\ppt\83.pptx,2
2,1,1,2,0,2,1,1,0,2,2,0,0,2,2,1,,1,3,18,3,1,e:\ppt\84.pptx,e:\ppt\84.pptx,3
2,0,3,2,0,0,1,1,0,2,2,0,0,0,0,2,,2,3,13,3,2,e:\ppt\85.pptx,e:\ppt\85.pptx,3
2,0,3,2,0,2,1,0,1,2,2,0,0,2,2,1,,1,2,19,2,1,e:\ppt\86.pptx,e:\ppt\86.pptx,2
2,0,1,0,0,1,1,1,1,2,2,0,2,0,2,2,,2,3,15,3,2,e:\ppt\87.pptx,e:\ppt\87.pptx,3
2,0,1,2,0,1,1,1,1,2,2,1,0,0,0,2,,2,1,14,1,2,e:\ppt\88.pptx,e:\ppt\88.pptx,1
2,0,1,2,0,1,1,1,0,2,2,0,0,2,2,1,,1,1,16,1,1,e:\ppt\89.pptx,e:\ppt\89.pptx,1
2,0,1,0,0,0,1,1,1,2,2,1,0,2,2,2,,2,1,15,1,2,e:\ppt\90.pptx,e:\ppt\90.pptx,1
2,0,1,2,0,0,1,1,1,2,2,0,0,2,2,1,,1,2,16,2,1,e:\ppt\91.pptx,e:\ppt\91.pptx,2
1,0,3,2,0,2,1,0,1,2,2,0,0,2,2,1,,1,3,18,3,1,e:\ppt\92.pptx,e:\ppt\92.pptx,3
2,0,3,2,0,1,0,0,1,2,2,1,0,2,2,1,,1,1,18,1,1,e:\ppt\93.pptx,e:\ppt\93.pptx,1
2,3,1,2,0,1,1,1,1,2,2,1,0,2,2,1,,1,1,21,1,1,e:\ppt\94.pptx,e:\ppt\94.pptx,1
2,0,1,0,0,0,1,1,0,2,2,0,0,0,0,3,,3,3,9,3,3,e:\ppt\95.pptx,e:\ppt\95.pptx,3
2,0,1,0,0,1,1,1,1,2,2,1,0,0,2,2,,2,1,14,1,2,e:\ppt\96.pptx,e:\ppt\96.pptx,1
1,0,1,2,0,2,1,1,0,2,2,1,0,2,2,1,,1,3,17,3,1,e:\ppt\97.pptx,e:\ppt\97.pptx,3
2,0,1,2,0,1,1,1,1,2,2,0,0,0,0,2,,2,3,13,3,2,e:\ppt\98.pptx,e:\ppt\98.pptx,3
2,1,1,0,0,1,1,1,1,2,2,1,0,2,2,1,,1,2,17,2,1,e:\ppt\99.pptx,e:\ppt\99.pptx,2
2,0,1,0,0,2,0,1,0,2,2,0,0,0,0,3,,3,4,10,4,3,e:\ppt\71.pptx,e:\ppt\71.pptx,4
2,0,1,2,0,0,1,0,0,2,2,0,0,0,0,3,,3,3,10,3,3,e:\ppt\72.pptx,e:\ppt\72.pptx,3
